Município;State;Municipality; Gross Rol [%] ;Gross Rol [%];Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Agua Boa - MT;mato grosso;Agua Boa;4.88;0.04875;10-15 / 12-15;5;0;339;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;737.91;714.29
Alto Araguaia - MT;mato grosso;Alto Araguaia;4.88;0.04875;10-15 / 12-15;5;0;272;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;920.25;714.29
Alto Garcas - MT;mato grosso;Alto Garcas;4.88;0.04875;10-15 / 12-15;5;0;299;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;834.95;714.29
Alto Taquari - MT;mato grosso;Alto Taquari;4.88;0.04875;10-15 / 12-15;5;0;233;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;1072.12;714.29
Barra Do Garcas - MT;mato grosso;Barra Do Garcas;4.88;0.04875;10-15 / 12-15;5;0;298;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;837.75;714.29
Bom Jesus Do Araguaia - MT;mato grosso;Bom Jesus Do Araguaia;4.88;0.04875;10-15 / 12-15;5;0;319;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;784.29;714.29
Campo Novo Do Parecis - MT;mato grosso;Campo Novo Do Parecis;4.88;0.04875;10-15 / 12-15;5;0;260;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;961.74;714.29
Campo Verde - MT;mato grosso;Campo Verde;4.88;0.04875;10-15 / 12-15;5;0;248;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;1009.46;714.29
Canabrava Do Norte - MT;mato grosso;Canabrava Do Norte;4.88;0.04875;10-15 / 12-15;5;0;324;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;772.16;714.29
Canarana - MT;mato grosso;Canarana;4.88;0.04875;10-15 / 12-15;5;0;339;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;737.73;714.29
Chapada Dos Guimaraes - MT;mato grosso;Chapada Dos Guimaraes;4.88;0.04875;10-15 / 12-15;5;0;228;12-15 / 02-15;5;0;339.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;1095.88;737.60
Cocalinho - MT;mato grosso;Cocalinho;4.88;0.04875;10-15 / 12-15;5;0;322;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;776.68;714.29
Colider - MT;mato grosso;Colider;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Comodoro - MT;mato grosso;Comodoro;4.88;0.04875;10-15 / 12-15;5;0;282;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;885.22;714.29
